no,CigCon,YoS,Age,Linc,Sex,CigPri,LCigPri,CigRes
74,60,13.5,37,-0.9726,Male,30.8,3.43,Yes
75,20,12,40,2.6228,Female,30.9,3.43,Yes
76,3,6,47,2.7357,Male,30.7,3.42,Yes
77,0,10,78,2.1333,Male,31,3.43,Yes
78,0,18,38,1.9934,Male,30.9,3.43,Yes
79,0,13.5,25,3.3376,Male,31.2,3.44,Yes
80,0,12,67,1.9181,Male,30.7,3.42,Yes
81,12,13.5,50,3.6261,Male,30.5,3.42,Yes
82,0,13.5,47,2.4388,Male,30.8,3.43,Yes
83,0,8,76,1.525,Male,31.2,3.44,Yes
84,0,8,28,2.9383,Male,30.4,3.41,Yes
85,0,12,32,2.7968,Female,30.8,3.43,Yes
86,0,12,28,3.0747,Female,31,3.43,Yes
87,20,12,53,1.859,Male,30.6,3.42,Yes
88,0,12,57,1.4662,Male,30.4,3.41,Yes
89,0,18,42,1.8304,Male,30.8,3.43,Yes
90,0,15,49,3.2333,Male,30.6,3.42,Yes
91,25,18,31,3.5435,Male,30.9,3.43,Yes
92,0,12,20,1.884,Male,30.7,3.42,Yes
93,40,18,45,0.8314,Male,31,3.43,Yes
94,0,18,63,3.6691,Female,30.3,3.41,Yes
95,0,15,61,3.1591,Male,30.9,3.43,Yes
96,30,13.5,35,1.0282,Female,30.9,3.43,Yes
97,0,6,59,2.5762,Male,30.9,3.43,Yes
98,0,10,17,1.7367,Female,31.3,3.44,Yes
99,0,18,38,3.8907,Male,31.4,3.45,Yes
100,0,13.5,41,2.5747,Male,30.6,3.42,Yes
101,0,12,35,3.3114,Male,31,3.43,Yes
102,0,12,40,2.6833,Female,30.8,3.43,Yes
103,0,13.5,37,4.9667,Male,31.3,3.44,Yes
104,13,12,27,2.2807,Female,31.2,3.44,Yes
105,0,12,48,3.0879,Male,30.4,3.42,Yes
106,0,12,18,2.5386,Female,31,3.44,Yes
107,0,12,43,3.9682,Female,30.4,3.42,Yes
108,0,10,20,1.8715,Male,31,3.43,Yes
109,1,8,19,2.486,Male,30.4,3.41,Yes
110,0,13.5,22,3.312,Male,30.4,3.41,Yes
111,0,16,60,2.2211,Male,30.4,3.41,Yes
112,0,13.5,47,2.5545,Male,30.9,3.43,Yes
113,0,10,77,1.563,Female,30.8,3.43,Yes
114,0,13.5,26,3.7309,Male,30.7,3.42,Yes
115,20,12,37,0.5351,Female,31.3,3.44,Yes
116,15,13.5,40,3.1542,Female,31.1,3.44,Yes
117,0,6,44,2.0304,Female,30.6,3.42,Yes
118,0,6,65,3.2947,Male,31,3.43,Yes
119,0,16,26,1.6613,Male,30.5,3.42,Yes
120,0,8,77,1.8438,Female,30.4,3.42,Yes
121,0,12,73,2.2296,Female,30.6,3.42,Yes
122,0,10,64,4.0648,Male,30.5,3.42,Yes
123,0,13.5,28,2.8512,Male,30.8,3.43,Yes
124,20,13.5,26,2.2333,Male,30.4,3.42,Yes
125,20,10,64,1.2365,Male,30.6,3.42,Yes
126,0,12,29,1.0732,Male,30.8,3.43,Yes
127,40,12,55,-0.147,Male,31,3.43,Yes
128,0,12,54,2.0872,Male,31.4,3.45,Yes
129,10,15,42,2.4096,Male,30.6,3.42,Yes
130,0,13.5,70,2.5049,Female,31.4,3.45,Yes
131,0,16,71,2.6061,Male,30.6,3.42,Yes
132,0,12,24,2.0422,Male,30.9,3.43,Yes
133,20,10,38,2.1208,Male,30.9,3.43,Yes
134,0,15,73,2.5694,Male,31,3.43,Yes
135,0,18,29,4.8181,Male,30.4,3.41,Yes
136,0,13.5,24,2.4112,Male,30.3,3.41,Yes
137,0,12,25,2.1306,Male,30.7,3.42,Yes
138,0,15,22,3.5915,Male,31,3.44,Yes
139,5,12,36,1.1558,Male,30.7,3.43,Yes
140,0,12,28,2.3492,Male,26.8,3.29,No
141,40,13.5,27,-0.8296,Male,26.7,3.28,No
142,8,13.5,28,3.2587,Male,27.6,3.32,No
143,0,12,53,4.1289,Male,26.7,3.28,No
144,15,13.5,23,2.1385,Male,27.5,3.31,No
145,15,12,19,0.2542,Male,27,3.3,No
146,0,15,25,2.666,Female,27.2,3.3,No
147,20,13.5,34,2.9836,Female,27.3,3.31,No
148,0,13.5,20,1.5693,Male,27.1,3.3,No
149,0,10,17,0.9896,Male,27.2,3.3,No
150,20,16,51,2.9392,Male,33.3,3.51,Yes
151,30,12,44,1.1487,Male,32.7,3.49,Yes
152,60,12,29,-0.2379,Male,32.7,3.49,Yes
153,0,8,65,0.8628,Male,33,3.5,Yes
154,0,12,53,2.4043,Male,32.7,3.49,Yes
155,0,8,46,1.6078,Female,34,3.53,Yes
156,0,18,51,1.8051,Male,32.7,3.49,Yes
157,0,18,66,4.2029,Male,32.8,3.49,Yes
158,0,8,42,1.5922,Female,32.5,3.48,Yes
159,40,16,32,2.5865,Male,32.6,3.48,Yes
160,25,13.5,53,2.4891,Male,33.2,3.5,Yes
161,0,8,70,1.5155,Male,33,3.5,Yes
162,30,10,30,3.2124,Male,32.9,3.49,Yes
163,0,18,42,5.2772,Male,32.9,3.49,Yes
164,0,12,69,1.4782,Male,33.3,3.5,Yes
165,0,10,18,0.6863,Male,33.2,3.5,Yes
166,10,12,22,0.8842,Male,34.1,3.53,Yes
167,40,6,38,1.1663,Female,33.3,3.51,Yes
168,20,10,52,0.3644,Male,33.2,3.5,Yes
169,0,10,17,1.2045,Female,32.6,3.48,Yes
170,0,12,46,2.2554,Male,32.5,3.48,Yes
171,0,16,46,3.9303,Male,33.3,3.51,Yes
172,0,12,35,2.9843,Female,33,3.5,Yes
173,16,12,22,1.8348,Male,33.2,3.5,Yes
174,20,12,54,2.1808,Male,30.8,3.43,No
175,40,12,58,0.1215,Male,30.6,3.42,No
176,15,10,27,2.4102,Male,31,3.43,No
177,40,18,47,1.4895,Male,30.6,3.42,No
178,40,16,53,1.6355,Male,31,3.43,No
179,10,12,29,2.1543,Male,32.5,3.48,No
180,0,13.5,29,3.0784,Male,33.9,3.52,No
181,0,13.5,47,3.7499,Male,34.1,3.53,No
182,10,8,67,0.6327,Female,34.7,3.55,No
183,0,18,31,3.8091,Female,34.7,3.55,No
184,0,12,27,3.2384,Male,33.6,3.51,No
185,0,12,34,4.1362,Male,34.1,3.53,No
186,0,10,25,2.7251,Male,34.3,3.53,No
187,30,12,46,1.5037,Male,33.9,3.52,No
188,50,16,50,-0.408,Female,33.9,3.52,No
189,0,6,69,2.4769,Male,33.9,3.52,No
190,0,13.5,32,3.268,Male,33.9,3.52,No
191,0,12,64,2.8841,Male,33.9,3.52,No
192,0,15,30,0.8965,Male,34,3.53,No
193,0,8,78,0.5088,Male,34,3.53,No
194,0,13.5,46,2.251,Male,34.6,3.54,No
195,60,13.5,49,0.5866,Male,34.8,3.55,No
196,0,12,30,2.0608,Male,35,3.56,No
197,20,10,23,1.1803,Female,34.4,3.54,No
198,15,12,27,2.8386,Male,34.7,3.55,No
199,20,18,28,-0.1519,Male,34.2,3.53,No
200,30,10,26,0.984,Male,34.8,3.55,No
201,0,6,44,2.3784,Male,33.9,3.52,No
202,30,13.5,54,1.5142,Male,34.7,3.55,No
203,0,12,54,2.4217,Male,34.9,3.55,No
204,13,12,66,1.3449,Male,35,3.55,No
205,0,18,49,3.4436,Male,33.9,3.52,No
206,0,16,77,4.6075,Female,33.7,3.52,No
207,0,12,74,2.4968,Male,34.5,3.54,No
208,0,18,69,4.3355,Female,34.7,3.55,No
209,0,13.5,78,3.1199,Male,34.3,3.54,No
210,20,13.5,57,2.3769,Male,34.2,3.53,No
211,0,8,53,2.7889,Male,35.1,3.56,No
212,0,16,88,1.2444,Male,33.7,3.52,No
213,0,12,79,1.5983,Male,33.6,3.51,No
214,0,12,21,0.7098,Male,28.7,3.36,No
215,0,18,30,3.4733,Male,29.1,3.37,No
216,0,18,39,3.3515,Male,28.7,3.36,No
217,9,15,25,3.6719,Male,29.9,3.4,No
218,0,10,58,2.0896,Male,29.6,3.39,No
219,15,13.5,23,2.4597,Male,29.6,3.39,No
220,28,16,30,1.7456,Male,29.6,3.39,No
221,40,10,31,0.7746,Male,29,3.37,No
222,0,16,31,1.7589,Male,28.7,3.36,No
223,0,16,50,2.8208,Male,29.1,3.37,No
224,0,8,20,0.9923,Male,29.3,3.38,No
225,0,13.5,24,3.2576,Female,28.6,3.35,No
226,0,12,33,2.4945,Male,31,3.43,No
227,0,16,39,3.0266,Male,31.8,3.46,No
228,0,13.5,19,1.3167,Female,28.7,3.36,No
229,20,12,31,2.5899,Male,29.7,3.39,No
230,50,13.5,40,-0.3126,Male,30,3.4,No
231,0,16,39,3.5659,Male,29.8,3.39,No
232,7,15,23,0.4775,Male,29.8,3.4,No
233,0,8,71,3.8935,Female,29.3,3.38,No
234,0,6,54,2.0776,Male,29,3.37,No
235,20,10,33,2.6354,Female,29.3,3.38,No
236,0,18,30,2.1041,Male,30.1,3.4,No
237,20,12,31,3.3237,Male,28.9,3.36,No
238,0,18,46,2.6841,Male,30.3,3.41,No
239,0,12,75,0.6911,Male,30,3.4,No
240,20,8,40,1.6483,Male,29.1,3.37,No
241,0,12,66,1.4782,Male,29.7,3.39,No
242,40,18,45,2.4126,Male,29.8,3.39,No
243,0,8,73,3.0665,Male,29.6,3.39,No
244,30,12,31,0.9498,Male,28.9,3.36,No
245,0,13.5,27,2.6985,Male,29.1,3.37,No
246,0,10,50,3.5041,Female,29.3,3.38,No
247,0,12,45,3.5273,Male,28.9,3.36,No
248,30,12,22,0.841,Female,29.1,3.37,No
249,0,13.5,44,2.1998,Female,29.6,3.39,No
250,5,10,51,3.2897,Male,29.3,3.38,No
251,0,6,59,2.1351,Male,29.4,3.38,No
252,0,10,59,2.7606,Male,29.2,3.37,No
253,0,12,66,3.2228,Male,28.8,3.36,No
254,3,13.5,35,2.9022,Male,29.6,3.39,No
255,15,10,17,2.2864,Female,28.8,3.36,No
256,0,12,35,3.0132,Male,29.8,3.39,No
257,0,16,30,-0.1926,Male,29.8,3.39,No
258,0,12,23,2.6971,Male,29.7,3.39,No
259,0,8,60,2.9745,Male,29.1,3.37,No
260,0,18,27,1.9262,Male,29.6,3.39,No
261,0,16,37,2.0341,Male,28.8,3.36,No
262,0,15,42,3.0807,Female,29,3.37,No
263,0,8,87,1.1585,Male,30,3.4,No
264,20,13.5,26,0.4167,Male,29.8,3.39,No
265,15,12,20,0.8604,Male,28.7,3.36,No
266,0,10,65,2.5196,Male,29.4,3.38,No
267,20,12,35,1.615,Male,29.8,3.39,No
268,0,18,38,3.5536,Female,29.5,3.38,No
269,20,10,64,2.8015,Male,29.6,3.39,No
270,0,10,62,3.263,Male,29.1,3.37,No
271,1,12,47,3.5169,Male,29.4,3.38,No
272,20,10,52,0.9651,Male,29,3.37,No
273,0,13.5,32,4.4553,Female,29.3,3.38,No
274,15,16,26,4.0735,Male,29.2,3.37,No
275,0,18,35,2.866,Male,29.8,3.39,No
276,0,16,35,2.7912,Male,28.9,3.36,No
277,0,10,24,3.4533,Male,29.5,3.39,No
278,1,8,77,0.6835,Male,29.7,3.39,No
279,20,13.5,24,2.1681,Male,29.1,3.37,No
280,20,8,63,1.6236,Male,26.7,3.28,No
281,0,18,58,3.3621,Female,26.5,3.28,No
282,0,10,69,1.7752,Male,26.4,3.27,No
283,50,13.5,62,-0.7967,Female,27.2,3.3,No
284,0,12,27,4.2441,Male,26.8,3.29,No
285,20,13.5,30,1.7946,Male,26.5,3.28,No
286,0,10,51,1.7793,Male,26.4,3.27,No
287,0,12,32,2.4497,Male,26.6,3.28,No
288,20,10,51,1.1959,Male,26.4,3.27,No
289,0,6,53,2.8941,Male,26.8,3.29,No
290,0,13.5,20,2.3823,Female,26.8,3.29,No
291,40,13.5,22,0.3816,Female,26.6,3.28,No
292,0,16,24,4.2795,Male,26.4,3.27,No
293,0,12,23,3.5465,Male,26.6,3.28,No
294,0,12,65,1.502,Male,26.4,3.27,No
295,20,8,21,1.8533,Male,26.6,3.28,No
296,0,8,19,2.5785,Male,26.5,3.28,No
297,20,10,24,-0.1091,Male,26.8,3.29,No
298,30,12,34,0.8544,Male,26.7,3.28,No
299,6,10,54,1.3505,Male,26.4,3.27,No
300,15,18,50,2.7181,Male,29.1,3.37,No
301,20,13.5,65,3.4029,Male,29,3.37,No
302,20,12,33,1.3313,Male,28.5,3.35,No
303,0,8,69,1.7934,Male,28.8,3.36,No
304,30,15,26,1.5342,Male,29.6,3.39,No
305,0,8,69,1.7345,Male,28.8,3.36,No
306,20,12,59,0.2024,Male,28.5,3.35,No
307,20,12,35,1.2738,Male,28.8,3.36,No
308,0,6,54,3.9857,Male,29.2,3.37,No
309,0,13.5,28,3.1322,Female,27.8,3.33,No
310,15,12,28,2.5325,Female,27.8,3.33,No
311,30,10,77,0.7521,Male,22.6,3.12,No
312,0,12,64,3.6799,Male,22,3.09,No
313,40,10,52,2.1959,Male,22.8,3.13,No
314,30,10,21,2.7323,Male,22.6,3.12,No
315,0,10,46,3.3359,Male,22.9,3.13,No
316,0,12,24,2.6115,Male,22.6,3.12,No
317,30,12,31,1.5244,Male,22.9,3.13,No
318,0,12,26,2.4989,Male,22,3.09,No
319,0,10,79,2.3007,Male,22.9,3.13,No
320,30,12,53,0.9153,Male,23.3,3.15,No
321,40,12,32,1.2901,Male,29.1,3.37,No
322,0,15,21,2.6525,Male,30.1,3.41,No
323,0,15,18,0.7966,Male,29.5,3.38,No
324,0,13.5,30,1.8737,Male,29.7,3.39,No
325,15,12,20,1.2788,Male,29.7,3.39,No
326,40,8,69,0.1582,Male,28.5,3.35,No
327,20,8,59,1.5185,Male,29,3.37,No
328,30,12,56,2.2241,Male,28.5,3.35,No
329,0,18,43,2.9982,Male,28.6,3.35,No
330,40,10,40,0.7785,Male,28.7,3.36,No
331,0,16,37,3.1954,Male,29.4,3.38,No
332,0,10,36,3.4683,Male,29.1,3.37,No
333,40,13.5,28,-0.2794,Male,29.4,3.38,No
334,0,12,33,2.1759,Male,28.9,3.37,No
335,0,16,63,2.2974,Male,28.6,3.35,No
336,20,8,51,0.2735,Male,28.9,3.36,No
337,10,12,33,3.341,Male,29.4,3.38,No
338,0,13.5,39,3.0893,Male,28.5,3.35,No
339,20,12,21,0.9479,Male,28.9,3.36,No
340,0,13.5,37,2.2213,Male,29.1,3.37,No
341,0,18,70,4.8808,Male,29.4,3.38,No
342,0,12,20,2.6209,Male,28.9,3.37,No
343,0,16,27,2.1812,Male,28.5,3.35,No
344,4,16,28,0.7188,Male,29.4,3.38,No
345,0,16,30,4.5185,Male,33.4,3.51,No
346,20,13.5,52,1.708,Male,32.9,3.49,No
347,0,18,24,3.9963,Male,32.6,3.48,No
348,0,12,71,4.0496,Male,32.9,3.49,No
349,50,12,39,-1.082,Male,33.6,3.51,No
350,10,12,19,0.9484,Male,34.2,3.53,No
351,0,13.5,21,3.0691,Male,33.5,3.51,No
352,0,16,33,2.4245,Male,33.7,3.52,No
353,0,13.5,51,2.4289,Male,33.1,3.5,No
354,20,8,54,1.7273,Male,32.9,3.49,No
355,25,13.5,44,2.6766,Male,33.8,3.52,No
356,0,12,43,1.7025,Male,33.6,3.51,No
357,0,6,68,2.4423,Male,32.9,3.49,No
358,0,12,22,3.2121,Male,33.4,3.51,No
359,40,10,54,2.016,Male,32.9,3.49,No
360,30,16,37,3.0947,Male,33.9,3.52,No
361,15,13.5,22,-0.6593,Male,33.3,3.5,No
362,0,18,65,2.5007,Male,29.2,3.37,Yes
363,30,12,30,1.7025,Male,30.1,3.4,Yes
364,2,12,19,2.4525,Male,30.1,3.4,Yes
365,0,15,35,3.7133,Male,30.2,3.41,Yes
366,0,10,59,2.7343,Male,30,3.4,Yes
367,0,12,18,2.7552,Male,29.1,3.37,Yes
368,20,12,44,2.498,Male,29.1,3.37,Yes
369,0,16,37,3.0041,Male,29.4,3.38,Yes
370,20,12,37,3.0028,Male,30.3,3.41,Yes
371,0,12,19,3.024,Male,29.1,3.37,Yes
372,0,12,25,1.6649,Male,29.5,3.38,Yes
373,20,16,31,0.7049,Female,29.5,3.38,Yes
374,0,12,19,0.1892,Male,30,3.4,Yes
375,0,10,18,1.6765,Male,29.3,3.38,Yes
376,20,16,28,0.6855,Male,29.9,3.4,Yes
377,0,18,46,1.97,Male,29.2,3.37,Yes
378,0,12,27,3.4289,Male,29.1,3.37,Yes
379,0,12,58,3.3475,Male,28.9,3.36,Yes
380,0,12,19,2.8281,Male,30.3,3.41,Yes
381,3,13.5,30,3.0559,Male,30.1,3.41,Yes
382,30,13.5,58,2.9368,Male,29.4,3.38,Yes
383,10,6,42,2.1112,Male,29,3.37,Yes
384,0,13.5,45,3.2159,Male,29,3.37,Yes
385,14,10,18,2.2379,Male,30.2,3.41,Yes
386,20,12,40,2.6076,Female,30.3,3.41,Yes
387,0,13.5,66,2.484,Male,30,3.4,Yes
388,20,12,64,0.1383,Male,30.1,3.4,Yes
389,20,12,43,0.4101,Female,30,3.4,Yes
390,0,10,53,3.1382,Male,30.3,3.41,Yes
391,30,16,36,2.9689,Male,29.4,3.38,Yes
392,20,13.5,43,3.255,Male,30.3,3.41,Yes
393,0,18,25,4.1337,Male,29.8,3.39,Yes
394,0,12,35,4.883,Male,30.2,3.41,Yes
395,0,16,29,3.795,Male,31.1,3.44,Yes
396,0,12,18,0.884,Male,31.2,3.44,Yes
397,0,12,20,3.3379,Male,31.6,3.45,Yes
398,0,12,19,2.7382,Male,31.2,3.44,Yes
399,0,10,17,0.2809,Male,31.5,3.45,Yes
400,20,18,29,1.1719,Female,30.8,3.43,Yes
401,0,8,65,2.1181,Male,30.7,3.43,Yes
402,0,12,42,3.9177,Male,30.8,3.43,Yes
403,0,16,32,4.786,Male,31.6,3.45,Yes
404,0,18,36,3.6602,Male,31.5,3.45,Yes
405,0,16,57,4.821,Male,31.6,3.45,Yes
406,0,12,31,4.3011,Male,31.2,3.44,Yes
407,0,10,17,2.0863,Male,31.1,3.44,Yes
408,0,10,17,1.2065,Female,31.5,3.45,Yes
409,8,8,45,1.9301,Male,29.7,3.39,No
410,10,12,19,2.0775,Male,29.8,3.39,No
411,0,8,74,1.3435,Male,27.2,3.3,No
412,25,12,46,2.2725,Male,26.8,3.29,No
413,0,13.5,27,2.7147,Male,27.5,3.31,No
414,0,12,66,3.6969,Male,28.2,3.34,No
415,0,16,44,1.8101,Male,27.5,3.31,No
416,0,12,33,2.5747,Male,27.5,3.31,No
417,0,12,64,1.3125,Male,27.1,3.3,No
418,1,13.5,54,4.7365,Male,28.7,3.36,No
419,30,10,27,2.8999,Female,28.8,3.36,No
420,0,6,75,1.7719,Male,28.7,3.36,No
421,0,10,19,1.7188,Male,26.6,3.28,No
422,20,6,69,-0.3062,Male,28.5,3.35,No
423,0,12,30,5.2562,Male,27.9,3.33,No
424,0,12,64,2.7626,Male,28.1,3.33,No
425,0,13.5,37,3.82,Male,28.7,3.36,No
426,0,12,31,2.3151,Male,27.2,3.3,No
427,2,12,30,3.3519,Male,28.8,3.36,No
428,0,6,38,3.4875,Male,27.5,3.31,Yes
429,0,12,20,1.531,Male,29.8,3.4,Yes
430,20,12,21,2.9047,Male,29.8,3.4,Yes
431,0,12,19,2.9156,Male,28.4,3.35,Yes
432,0,18,71,3.2585,Male,29.2,3.38,No
433,18,10,49,0.8798,Male,31.6,3.45,No
434,0,10,42,0.6782,Male,27.6,3.32,No
435,10,8,54,1.7196,Male,27.5,3.31,No
436,20,13.5,24,1.9464,Male,27.6,3.32,No
437,0,12,60,1.9659,Male,27.2,3.3,No
438,0,12,54,2.8451,Male,27.6,3.32,No
439,20,10,28,2.6903,Male,26.9,3.29,No
440,0,8,67,3.6404,Male,32.5,3.48,No
441,40,12,56,0.3961,Male,32.8,3.49,No
442,0,16,36,3.9886,Male,32,3.47,No
443,0,12,25,3.2028,Female,32.2,3.47,No
444,0,13.5,34,2.1824,Male,32.9,3.49,No
445,5,10,20,-0.0425,Male,32.8,3.49,No
446,10,13.5,21,-0.264,Male,32.3,3.47,No
447,0,12,42,1.9596,Male,32.5,3.48,No
448,20,13.5,28,1.9541,Male,32.3,3.47,No
449,0,18,29,2.4291,Male,32.7,3.49,No
450,20,8,70,2.8286,Male,32.5,3.48,No
451,30,12,32,0.3475,Male,33.2,3.5,No
452,40,13.5,42,0.3928,Female,32.9,3.49,No
453,30,10,17,-0.1804,Male,32.6,3.48,No
454,0,12,24,1.6951,Male,33.4,3.51,No
455,0,15,64,3.5697,Female,33.2,3.5,No
456,60,12,57,-0.0823,Male,32.9,3.49,No
457,0,16,51,3.8839,Male,32.1,3.47,No
458,18,13.5,29,1.1535,Male,32.9,3.49,No
459,20,10,66,1.5674,Male,32.2,3.47,No
460,15,13.5,62,1.6494,Male,32.2,3.47,No
461,40,16,29,1.423,Male,33.2,3.5,No
462,0,6,58,2.3207,Male,32.8,3.49,No
463,0,15,53,3.2539,Female,32.6,3.48,No
464,0,13.5,38,4.4201,Male,32.7,3.49,No
465,0,12,24,0.8216,Male,32.1,3.47,No
466,0,8,59,1.9353,Male,33.2,3.5,No
467,0,16,30,3.2671,Male,33.1,3.5,No
468,0,8,37,2.0332,Male,32.2,3.47,No
469,0,12,43,2.9258,Male,33,3.5,No
470,0,12,60,3.9478,Female,33.1,3.5,No
471,40,10,24,0.8061,Male,32.5,3.48,No
472,0,12,60,2.0431,Male,32.3,3.47,No
473,0,8,82,0.5019,Male,31,3.43,No
474,0,12,61,1.9798,Male,32.1,3.47,No
475,0,10,66,3.2408,Male,32.3,3.47,No
476,0,15,33,3.3885,Male,30.9,3.43,No
477,19,10,26,1.5315,Male,32.3,3.47,No
478,20,8,85,-1.3958,Female,32.1,3.47,No
479,0,13.5,32,4.5757,Male,31.1,3.44,No
480,0,10,27,2.0902,Male,31.7,3.46,No
481,20,12,30,0.9344,Male,32.1,3.47,No
482,0,12,30,1.5692,Male,31.3,3.44,No
483,0,13.5,47,5.1774,Male,31.6,3.45,No
484,0,12,18,2.7372,Male,30.9,3.43,No
485,0,12,20,0.8563,Female,31.2,3.44,No
486,0,18,32,4.7828,Male,31.3,3.44,No
487,0,18,30,1.1948,Male,31,3.43,No
488,0,10,17,3.4214,Male,31.8,3.46,No
489,10,12,22,0.9689,Male,31.3,3.44,No
490,0,13.5,43,2.8349,Male,30.9,3.43,No
491,40,10,56,0.7593,Male,31.7,3.45,No
492,0,6,64,3.7836,Male,31,3.43,No
493,0,6,76,1.2275,Male,31.5,3.45,No
494,30,12,28,0.6504,Male,32,3.47,No
495,0,18,37,3.4437,Male,32.3,3.48,No
496,0,15,38,3.5036,Male,31.8,3.46,No
497,20,16,52,1.6625,Male,31.1,3.44,No
498,0,8,68,1.0111,Male,31.6,3.45,No
499,0,12,75,2.1142,Male,31.5,3.45,No
500,20,13.5,54,3.6541,Male,30.9,3.43,No
501,40,18,36,1.5242,Male,30.9,3.43,No
502,0,6,37,3.6592,Male,31.2,3.44,No
503,28,13.5,23,1.0973,Female,31.2,3.44,No
504,5,6,36,1.6547,Male,32.1,3.47,No
505,0,10,44,2.2487,Male,31.6,3.45,No
506,0,18,56,2.1102,Female,32.1,3.47,No
507,0,10,64,1.8768,Male,32.2,3.47,No
508,28,13.5,45,0.9169,Male,31.5,3.45,No
509,30,12,56,0.9064,Male,30.9,3.43,No
510,0,8,62,2.7037,Male,31.6,3.45,No
511,0,15,62,2.6661,Male,31.4,3.45,No
512,0,16,52,3.0971,Male,32.3,3.47,No
513,0,10,18,2.4293,Male,31.6,3.45,No
514,0,12,47,3.6834,Male,32,3.47,No
515,0,18,52,3.6233,Male,31.6,3.45,No
516,0,12,18,2.0626,Male,32.1,3.47,No
517,20,13.5,26,2.0358,Male,32,3.47,No
518,0,15,22,4.0998,Male,32.3,3.48,No
519,0,6,65,1.8406,Male,31.6,3.45,No
